Project,Method,Metric,CV_Value,Experiment
Columba,MAT,F1_CV,1.2849803525754125e-16,MTO
EMF,MAT,F1_CV,0.0,MTO
Hibernate,MAT,F1_CV,0.0,MTO
JEdit,MAT,F1_CV,1.672022627447525e-16,MTO
JFreeChart,MAT,F1_CV,3.0584656325761896e-16,MTO
JMeter,MAT,F1_CV,1.3123203600770174e-16,MTO
JRuby,MAT,F1_CV,0.0,MTO
SQuirrel,MAT,F1_CV,1.5105075164968118e-16,MTO
Dubbo,MAT,F1_CV,0.0,MTO
Gradle,MAT,F1_CV,0.0,MTO
Groovy,MAT,F1_CV,1.4399779826526023e-16,MTO
Hive,MAT,F1_CV,0.0,MTO
Maven,MAT,F1_CV,0.0,MTO
Poi,MAT,F1_CV,0.0,MTO
SpringFramework,MAT,F1_CV,1.6399158413960954e-16,MTO
Storm,MAT,F1_CV,0.0,MTO
Tomcat,MAT,F1_CV,1.4704940723512006e-16,MTO
Zookeeper,MAT,F1_CV,0.0,MTO
Ant,NLP,F1_CV,0.0929520806751387,MTO
ArgoUML,NLP,F1_CV,0.0146312735548996,MTO
Columba,NLP,F1_CV,0.0639168059814597,MTO
EMF,NLP,F1_CV,0.0893153476799114,MTO
Hibernate,NLP,F1_CV,0.0229606636287851,MTO
JEdit,NLP,F1_CV,0.0530268233903809,MTO
JFreeChart,NLP,F1_CV,0.0614361498712057,MTO
JMeter,NLP,F1_CV,0.0592388455051476,MTO
JRuby,NLP,F1_CV,0.0326252485328376,MTO
SQuirrel,NLP,F1_CV,0.0530576388450266,MTO
Dubbo,NLP,F1_CV,0.0592272832781516,MTO
Gradle,NLP,F1_CV,0.0459067273086346,MTO
Groovy,NLP,F1_CV,0.0691416883041877,MTO
Hive,NLP,F1_CV,0.0974573168520923,MTO
Maven,NLP,F1_CV,0.0314666097710421,MTO
Poi,NLP,F1_CV,0.0726686083488283,MTO
SpringFramework,NLP,F1_CV,0.1981415118344377,MTO
Storm,NLP,F1_CV,0.1323147135231042,MTO
Tomcat,NLP,F1_CV,0.1403637086918627,MTO
Zookeeper,NLP,F1_CV,0.1482713355817063,MTO
Ant,TM,F1_CV,0.1311646094758235,MTO
ArgoUML,TM,F1_CV,0.0447089328109152,MTO
Columba,TM,F1_CV,0.115986838517307,MTO
EMF,TM,F1_CV,0.1824286605857805,MTO
Hibernate,TM,F1_CV,0.063170111429139,MTO
JEdit,TM,F1_CV,0.0891183462323832,MTO
JFreeChart,TM,F1_CV,0.1116439787117329,MTO
JMeter,TM,F1_CV,0.1039040253919713,MTO
JRuby,TM,F1_CV,0.0753262348750597,MTO
SQuirrel,TM,F1_CV,0.1086062627755694,MTO
Dubbo,TM,F1_CV,0.0995083424908471,MTO
Gradle,TM,F1_CV,0.0954966357855584,MTO
Groovy,TM,F1_CV,0.1208813347074099,MTO
Hive,TM,F1_CV,0.1723198501152037,MTO
Maven,TM,F1_CV,0.0557539617950851,MTO
Poi,TM,F1_CV,0.1615540421717696,MTO
SpringFramework,TM,F1_CV,0.2642812027139851,MTO
Storm,TM,F1_CV,0.2041244114473203,MTO
Tomcat,TM,F1_CV,0.1847435336483307,MTO
Zookeeper,TM,F1_CV,0.1888268066538284,MTO
Ant,CNN,F1_CV,0.1222593708849204,MTO
ArgoUML,CNN,F1_CV,0.0285031387025618,MTO
Columba,CNN,F1_CV,0.0342902537051949,MTO
EMF,CNN,F1_CV,0.1085355036174613,MTO
Hibernate,CNN,F1_CV,0.0492867780599715,MTO
JEdit,CNN,F1_CV,0.2132998819532677,MTO
JFreeChart,CNN,F1_CV,0.0614605549809826,MTO
JMeter,CNN,F1_CV,0.0372496891979225,MTO
JRuby,CNN,F1_CV,0.0298245594286347,MTO
SQuirrel,CNN,F1_CV,0.1024836686572732,MTO
Dubbo,CNN,F1_CV,0.0584521776896659,MTO
Gradle,CNN,F1_CV,0.0895212445742973,MTO
Groovy,CNN,F1_CV,0.0753014955477856,MTO
Hive,CNN,F1_CV,0.0669210814233076,MTO
Maven,CNN,F1_CV,0.0639332348871974,MTO
Poi,CNN,F1_CV,0.0685432425342882,MTO
SpringFramework,CNN,F1_CV,0.0782243332722812,MTO
Storm,CNN,F1_CV,0.0584010863320377,MTO
Tomcat,CNN,F1_CV,0.0645747316109431,MTO
Zookeeper,CNN,F1_CV,0.095065024381613,MTO
Ant,MAT,Precision_CV,0.0,MTO
ArgoUML,MAT,Precision_CV,1.3506362829989742e-16,MTO
Columba,MAT,Precision_CV,0.0,MTO
EMF,MAT,Precision_CV,0.0,MTO
Hibernate,MAT,Precision_CV,0.0,MTO
