IR,Experiment,Method,Metric,Value
11,OTO,CNN,MCC,0.6475263157894737
12,OTO,CNN,MCC,0.6466723684210527
13,OTO,CNN,MCC,0.6392855263157895
14,OTO,CNN,MCC,0.6298881578947368
15,OTO,CNN,MCC,0.6257763157894737
16,OTO,CNN,MCC,0.6186078947368421
17,OTO,CNN,MCC,0.6191842105263158
18,OTO,CNN,MCC,0.6288947368421053
19,OTO,CNN,MCC,0.6132513157894738
20,OTO,CNN,MCC,0.59545
1,OTO,CNN,F1,0.8141552631578948
2,OTO,CNN,F1,0.7468815789473683
3,OTO,CNN,F1,0.7238868421052631
4,OTO,CNN,F1,0.7106276315789473
5,OTO,CNN,F1,0.6938657894736842
6,OTO,CNN,F1,0.6783592105263156
7,OTO,CNN,F1,0.676136842105263
8,OTO,CNN,F1,0.6808947368421052
9,OTO,CNN,F1,0.658625
10,OTO,CNN,F1,0.657425
11,OTO,CNN,F1,0.651275
12,OTO,CNN,F1,0.6462973684210525
13,OTO,CNN,F1,0.6379802631578948
14,OTO,CNN,F1,0.6303249999999999
15,OTO,CNN,F1,0.6236065789473684
16,OTO,CNN,F1,0.6115552631578947
17,OTO,CNN,F1,0.6186184210526315
18,OTO,CNN,F1,0.6279855263157895
19,OTO,CNN,F1,0.6090131578947368
20,OTO,CNN,F1,0.5918289473684211
